"year","kg","eu"
2004,268741.1999999994,6584942.436099989
2005,284235.35000000085,7345823.698999983
2006,320260.1999999995,8068571.510300005
2007,349809.54999999993,8229680.79449999
2008,309613.79000000004,6765419.586699992
2009,401024.0399999999,7196028.4464
2010,371374.0200000004,6665314.762399995
2011,334962.49999999965,6385841.540399987
2012,333707.19999999984,5716401.833000012
2013,347384.3499999993,5631843.572900001
2014,328077.08999999915,6042049.726900002
2015,212316.43000000052,4666920.201499999
2016,174025.6300000003,3861168.834999995
2017,180912.8300000002,4206909.641499996
2018,192443.50000000035,4279993.389999991
2019,184603.81999999998,4200485.569999996
2020,131929.4699999999,3503825.0200000023
2021,113409.24000000031,3375226.509999995
2022,133354.1699999997,3739555.60999998
2023,143198.5299999999,3919818.0700000008
